company_name,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,Country,Country Code,Sector,CA100 Company?,Large/Medium Classification,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
3M,Northern America,Chemicals,Targets set,1.5C,2030,,,,,,3M commits to reduce absolute scope 1 and 2 GHG emissions 52.6% by 2030 from a 2019 base year. 3M also commits to reduce absolute scope 3 GHG emissions 42% by 2030 from a 2021 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Industrials,No,large,4/30/24,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
AbbVie,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,,,"AbbVie commits to reduce absolute scope 1 and 2 GHG emissions 42.0% by 2030 from a 2021 base year*. AbbVie also commits to increase active sourcing of renewable electricity from 29.5% in 2021 to 100.0% by 2030. AbbVie further commits that 79.1% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution, will have science-based targets by 2027. * The target boundary includes land-related emissions and removals from bioenergy feedstocks.",BA1.5 member,6/17/21 0:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Health Care,No,large,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Activision Blizzard,Northern America,Software and Services,Commitment removed,,,,,,Commitment removed,,,,,,Company change,United States of America,USA,Consumer Goods,No,large,5/25/23,,,,,,,,,,,,,,,,,,,,,,,,,
Activision Blizzard,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Adobe,Northern America,Software and Services,Targets set,1.5C,2030,Targets set,1.5C,FY2050,Targets set,FY2050,"Overall Net-Zero Target: Adobe Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: Adobe Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2022 base year. Adobe Inc. also commits to reduce scope 3 GHG emissions 52% per USD value added within the same timeframe.  Long-Term Targets: Adobe Inc. commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by FY2050 from a FY2022 base year.",BA1.5 member,5/24/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Technology,No,large,4/18/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Advanced Micro Devices,Northern America,Semiconductors and Semiconductors Equipment,Targets set,Well-below 2C,2020,,,,,,"Multinational semiconductor company AMD commits to reduce scope 1 and 2 emissions 20% by 2020 from a 2014 base-year. AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year. AMD also has a goal for suppliers' wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,United States of America,USA,,,,6/27/16,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Micro Devices,Northern America,Semiconductors and Semiconductors Equipment,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,4/19/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
Agilent Technologies,Northern America,Healthcare Equipment and Supplies,Targets set,1.5C,2030,Targets set,1.5C,FY2050,Targets set,FY2050,"Overall Net Zero target
Agilent Technologies Inc commits to reach net-zero greenhouse gas emissions across the
value chain by FY2050.
Near-Term Targets
Agilent Technologies Inc commits to reduce absolute scope 1 and 2 GHG emissions 50% by
FY2030 from a FY2019 base year. Agilent Technologies Inc also commits to reduce absolute
scope 3 GHG emissions from purchased goods and services, capital goods, upstream
transportation and distribution, business travel and employee commuting 30% within the
same timeframe.
Long-Term Targets
Agilent Technologies Inc commits to reduce absolute scope 1, 2 and 3 emissions 95% by
FY2050 from a FY2019 base year.",BA1.5 member,10/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,,,,10/12/23,,,,,,,,,,,,,,,,,,,,,,,,,
Agilent Technologies,Northern America,Healthcare Equipment and Supplies,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,4/18/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Agilent Technologies,Northern America,Healthcare Equipment and Supplies,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,3/3/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Airbnb,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",Targets set,1.5C,2030,,,,,,"Airbnb, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 78.4% by 2030 from a 2019 base year. Airbnb, Inc. also commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030. Airbnb, Inc. further commits to reduce scope 3 GHG emissions 55% per M USD of gross profit by 2030 from a 2019 base year",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,,,,10/20/22,,,,,,,,,,,,,,,,,,,,,,,,,
Airbnb,Northern America,"Hotels, Restaurants and Leisure, and Tourism Services",,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,4/26/24,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Akamai Technologies,Northern America,Software and Services,Commitment removed,,,,,,Commitment removed,,,BA1.5 member,9/23/21 1:00,,Expired commitment,United States of America,USA,,,,9/23/21,,,,,,,,,,,,,,,,,,,,,,,,,
Akamai Technologies,Northern America,Software and Services,,,,,,,,,,,,,,United States of America,USA,Technology,No,medium,3/5/24,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Albertsons Companies,Northern America,Food and Staples Retailing,Targets set,1.5C,2030,,,,,,"Albertsons Companies, Inc commits to reduce absolute scope 1 and 2 GHG emissions 47% by 2030 from the 2019 base year*. Albertsons Companies also commits to reduce scope 3 GHG emissions from the use of sold products 27.5% within the same timeframe. Furthermore, Albertsons Companies commits that 63% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2026. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,,,,4/21/22,,,,,,,,,,,,,,,,,,,,,,,,,
Albertsons Companies,Northern America,Food and Staples Retailing,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,small,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
