Company,Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,training_idx
Accenture,2022,Reasonable,Very Poor,Moderate,High,Very Poor,Moderate,Very Poor,Unknown,Very Poor,USD 50.5 bn (2021),0.86 MtCO2e (2020),Net zero emissions by 2025,"Purchased goods and services (upstream scope 3, 48%), Business travel (upstream scope 3, 31%)","Detailed information on scope 1 and 2 emissions. Some scope 3 emissions tracked and disclosed. Omissions of some scope 3 emissions are likely minor. Disclosure covers Accenture’s subsidiaries. Both location and marked-based accounting scope 2 emissions disclosed, but only the latter (lower value) is used for GHG emission totals.",Net zero emissions by 2025,,,,,,,,,,Unbundled RECs account for the major share of renewable energy consumption.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,Few specific measures disclosed for scope 1 and especially scope 3 emissions; target for 90% of suppliers to set own emission targets.,,,,,,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,accenture_2020
Accenture,2024,Reasonable,Very Poor,Moderate,High,Very Poor,Moderate,Very Poor,Unknown,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,accenture_2022
Accenture,2023,Reasonable,Very Poor,Moderate,High,Very Poor,Moderate,Very Poor,Unknown,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,accenture_2021
Adidas,2024,Poor,Poor,Poor,Poor,Poor,Moderate,Very Poor,Very Poor,Very Poor,USD 21.4 bn (2022),6.7 MtCO2e (2022),Climate neutral by 2050,Purchased goods and services No public disclosure of s3 emissions in,"No public disclosure of s3 emissions in 2017, which is the baseline year for the 2030 reduction target. No location-based reporting for scope 2.",Climate neutral by 2050,• Climate neutral across own operations by 2025 • 30% reduction of absolute GHG emissions across by the value chain bu 2030 below 2017 levels.,Translation of target to 2019 baseline is unclear due to highly variable emissions between 2017 and 2022. May be partially aligned with sectoral benchmarks.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,No targets for the 2021-2040 timeframe identiﬁed.,Lack of a reduction commitment alongside the climate neutrality pledge.,0% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Standalone RECs are currently used for own operations in Europe and the USA. Intention to shift focus to PPAs, but no further details identiﬁed.",95% of 2022 emissions,Measures to phase out coal and increase RE use in the supply chain. Natural gas and biomass also used to replace coal. No commitment to stop overproduction.,2% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,Germany,DEU,Consumer Goods,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,adidas_2022
Ahold Delhaize,2023,Moderate,Poor,Reasonable,Reasonable,Moderate,Poor,Very Poor,Poor,Very Poor,USD 79.5 bn (2021),70.3 MtCO2e (2021),Net zero across entire value chain by 2050,"88% of reported emissions are from purchased goods and services (upstream s3), mainly related to agricultural activities.","Emissions disclosed in full in CDP disclosure, but no s3 breakdown in main reporting. S1 and s2 presented with a breakdown. Market-based s2 used for sum.",Net zero across entire value chain by 2050,,,,,S1 and s2: net zero by 2040. S3: net zero by 2050.,"Net-zero targets presented with emission reduction targets, translating to ~82% reduction by 2050 (2019 baseline). Close to available benchmarks.",,,,Very limited amount of information in consumer-facing reporting. RE accounts for just 14% of electricity demand.,,,,,,Ahold Delhaize's brands sell 'climate-neutral' products. No climate contributions identified.,"- Reduce s1 and s2 by 29% by 2025 and 50% by 2030, compared to 2018 - Reduce s3 by 37% by 2030, compared to 2020","Targets translate to ~33% emission reduction by 2030 (2019 baseline). None of the separate s1, s2 and s3 targets are fully aligned with benchmarks.","Comprehensive strategy for s1 and s2. S3 strategy includes various measures, but no clear signs of transformative reductions in signiﬁcant emission sources.",Netherlands,NLD,Consumer Services,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,ahold_delhaize_2021
Ahold Delhaize,2024,Moderate,Poor,Reasonable,Reasonable,Moderate,Poor,Very Poor,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,NLD,Consumer Services,No,large,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,ahold_delhaize_2022
Amazon,2022,Poor,Poor,Moderate,Very Poor,Very Poor,Moderate,Moderate,Unknown,Very Poor,USD 386 bn (2020),60.6 MtCO2e (2020),Net-zero carbon by 2040,"Scope 3 emissions account for the majority, but the specific sources are unclear due to poor granularity of data.",The granularity of emission sources in the annual reporting is poor. Scope 2 emissions are only reported with the market-based accounting method. Amazon’s subsidiaries are not clearly included in Amazon’s tracking and disclosure.,Net-zero carbon by 2040,,,,,,,,,,Extensive details on high quality RE projects but limited transparency in terms of aggregated data.,,,,,Right Now Climate Fund: $100m to nature-based solutions. Unclear if related to future neutralisation.,No offsetting claim in 2020/2021,,,Major investments and commitments in new technologies for transportation; other emission sources unclear.,,,,,,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,amazon_2020
Amazon,2023,Poor,Poor,Moderate,Poor,Very Poor,Poor,Poor,Poor,Very Poor,USD 469.82 bn (2021),71.5 MtCO2e (2021),Net-zero carbon by 2040,"Major emission sources: The majority of Amazon's emission footprint comes from s3 emissions (77%). Disclosure: Emission disclosure lacks transparency,","Emission disclosure lacks transparency, only market-based emissions are reported and major emission sources in s3 are missing.",Net-zero carbon by 2040,,,,,Amazon pledges to reach net-zero carbon across its operation by 2040.,"Unlear scope coverage and if the target refers to CO2 only, or all GHG emissions. No emission reduction target alongside the net-zero pledge.",,,,"Today 85% RE electricty by 2025, target of 100%. Lack of transparency on RE procurement at an aggregated level, potential use of unbundled RECs.",,,,,,Right Now Climate Fund: $100m for biological CDR. Unclear if related to climate contribution or future neutralisation.,- Sourcing 100% of its used electricity from RE sources by 2025 - By 2030 50% of Amazon's shipments will be net-zero,"Max. emission reduction of 16% (parts s1, s2), but possibly much less: details are lacking, potential use of RECs and offsets to reach targets.",Measures with the potential for deep deacrbonisation are implemented for transport and buildings. Coverage and overall impact of those measures is unclear.,United States of America,USA,Consumer Services,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,amazon_2021
Amazon,2024,Poor,Poor,Moderate,Poor,Very Poor,Poor,Poor,Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No,amazon_2022
American Airlines,2023,Moderate,Very Poor,Poor,Moderate,Very Poor,Moderate,Very Poor,Poor,Very Poor,USD 29.9 bn (2021),42.0 MtCO2e (2021),Net-zero GHG emissions by 2050,Major emission sources: Jet fuel accounts for 99% of s1 and 30% of upstream s3 emissions. Disclosure: Various non-GHG emissions disclosed but,"Various non-GHG emissions disclosed but not contrail cirrus, which is the most relevant non-GHG forcer from aviation. Comprehensive reporting of GHGs across s1, s2 and upstream s3.",Net-zero GHG emissions by 2050,,,,,Reduce the intensity of jet fuel by 45% and s2 emissions by 40% by 2035 compared to 2019; and net-zero GHG emissions by 2050.,Targets cover jet fuel but exclude various s3 emission sources. They do not meet 1.5°C-aligned sectoral benchmarks.,,,,40% of purchased electricity is labelled as 'renewable'; American Airlines purchases unbundled RECs to make this claim.,,,,,,Projects supported do not represent high-hanging fruit projects No climate contributions identiﬁed.,Source 2.5 mn GJ of RE by 2025; achieve absolute reduction of 50 million gallons of jet fuel from fuel-eﬃciency initiatives; and use 10% SAF by 2030.,No intensity or absolute reduction commitments for 2030. The SAF target is at the very minimum of what sectoral benchmarks require.,Measures to improve efﬁciency of aircraft and ground handling; investments in SAF. No commitment to phase out carbon- intensive activities or decreasing demand for aviation.,United States of America,USA,Airlines,Yes,medium,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,american_airlines_2021
